sample	site	station	molecule	slope	paired
north1_all	N1_DNA	N1	DNA	North	1
north1_active	N1_RNA	N1	RNA	North	1
north2_all	N1_DNA	N1	DNA	North	2
north2_active	N1_RNA	N1	RNA	North	2
north3_all	N1_DNA	N1	DNA	North	3
north3_active	N1_RNA	N1	RNA	North	3
north4_all	N1_DNA	N1	DNA	North	4
north4_active	N1_RNA	N1	RNA	North	4
north5_all	N1_DNA	N1	DNA	North	5
north5_active	N1_RNA	N1	RNA	North	5
north6_all	N1_DNA	N1	DNA	North	6
north6_active	N1_RNA	N1	RNA	North	6
north7_all	N1_DNA	N1	DNA	North	7
north7_active	N1_RNA	N1	RNA	North	7
north8_all	N1_DNA	N1	DNA	North	8
north8_active	N1_RNA	N1	RNA	North	8
north9_all	N1_DNA	N1	DNA	North	9
north9_active	N1_RNA	N1	RNA	North	9
north10_all	N1_DNA	N1	DNA	North	10
north10_active	N1_RNA	N1	RNA	North	10
north11_all	N2_DNA	N2	DNA	North	1
north11_active	N2_RNA	N2	RNA	North	1
north12_all	N2_DNA	N2	DNA	North	2
north12_active	N2_RNA	N2	RNA	North	2
north13_all	N2_DNA	N2	DNA	North	3
north13_active	N2_RNA	N2	RNA	North	3
north14_all	N2_DNA	N2	DNA	North	4
north14_active	N2_RNA	N2	RNA	North	4
north15_all	N2_DNA	N2	DNA	North	5
north15_active	N2_RNA	N2	RNA	North	5
north16_all	N2_DNA	N2	DNA	North	6
north16_active	N2_RNA	N2	RNA	North	6
north17_all	N2_DNA	N2	DNA	North	7
north17_active	N2_RNA	N2	RNA	North	7
north18_all	N2_DNA	N2	DNA	North	8
north18_active	N2_RNA	N2	RNA	North	8
north19_all	N2_DNA	N2	DNA	North	9
north19_active	N2_RNA	N2	RNA	North	9
north20_all	N2_DNA	N2	DNA	North	10
north20_active	N2_RNA	N2	RNA	North	10
south21_all	S1_DNA	S1	DNA	South	1
south21_active	S1_RNA	S1	RNA	South	1
south22_all	S1_DNA	S1	DNA	South	2
south22_active	S1_RNA	S1	RNA	South	2
south23_all	S1_DNA	S1	DNA	South	3
south23_active	S1_RNA	S1	RNA	South	3
south24_all	S1_DNA	S1	DNA	South	4
south24_active	S1_RNA	S1	RNA	South	4
south25_all	S1_DNA	S1	DNA	South	5
south25_active	S1_RNA	S1	RNA	South	5
south26_all	S1_DNA	S1	DNA	South	6
south26_active	S1_RNA	S1	RNA	South	6
south27_all	S1_DNA	S1	DNA	South	7
south27_active	S1_RNA	S1	RNA	South	7
south28_all	S1_DNA	S1	DNA	South	8
south28_active	S1_RNA	S1	RNA	South	8
south29_all	S1_DNA	S1	DNA	South	9
south29_active	S1_RNA	S1	RNA	South	9
south30_all	S1_DNA	S1	DNA	South	10
south30_active	S1_RNA	S1	RNA	South	10
south31_all	S2_DNA	S2	DNA	South	1
south31_active	S2_RNA	S2	RNA	South	1
south32_all	S2_DNA	S2	DNA	South	2
south32_active	S2_RNA	S2	RNA	South	2
south33_all	S2_DNA	S2	DNA	South	3
south33_active	S2_RNA	S2	RNA	South	3
south34_all	S2_DNA	S2	DNA	South	4
south34_active	S2_RNA	S2	RNA	South	4
south35_all	S2_DNA	S2	DNA	South	5
south35_active	S2_RNA	S2	RNA	South	5
south36_all	S2_DNA	S2	DNA	South	6
south36_active	S2_RNA	S2	RNA	South	6
south37_all	S2_DNA	S2	DNA	South	7
south37_active	S2_RNA	S2	RNA	South	7
south38_all	S2_DNA	S2	DNA	South	8
south38_active	S2_RNA	S2	RNA	South	8
south39_all	S2_DNA	S2	DNA	South	9
south39_active	S2_RNA	S2	RNA	South	9
south40_all	S2_DNA	S2	DNA	South	10
south40_active	S2_RNA	S2	RNA	South	10
