,group,indval,pvalue,freq,OTU,Domain,Phylum,Class,Order,Family,Genus
Otu00180,2,0.382689166767458,0.002,0.0709138832559144,Otu00180,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gemmata
Otu00240,4,0.394588598434717,0.001,0.0518915967196544,Otu00240,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00035,2,0.446707806467024,0.001,0.276714239331131,Otu00035,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00136,2,0.427702912675868,0.001,0.0849646916763592,Otu00136,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00233,4,0.344568331110441,0.001,0.0552857074277856,Otu00233,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu00235,2,0.432468828546625,0.001,0.0556884155517323,Otu00235,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00086,2,0.508983595142931,0.001,0.130893290701377,Otu00086,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00058,2,0.491429634223204,0.001,0.189329425983363,Otu00058,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00088,4,0.372046059677843,0.001,0.126696535840882,Otu00088,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
Otu00002,4,0.309689160094846,0.007,1.73755917919787,Otu00002,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
Otu00209,2,0.340416262543793,0.005,0.0640369820074163,Otu00209,Bacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
Otu00237,4,0.36994170077848,0.007,0.0546866049611499,Otu00237,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
Otu00102,4,0.383322844680139,0.001,0.112507090560632,Otu00102,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
Otu00142,4,0.458123003347311,0.001,0.0811516851264895,Otu00142,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
Otu00080,4,0.398985609713093,0.002,0.138174835037154,Otu00080,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
Otu00162,2,0.424347967351076,0.02,0.0735276045377041,Otu00162,Bacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
Otu00231,4,0.383564403534827,0.002,0.0546359203548025,Otu00231,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter
Otu00245,2,0.548949089420107,0.001,0.0575872920648379,Otu00245,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter
