samp.id	rep	type	treatment	pair
BrassicaC1	1	cDNA	Rpf-	1
BrassicaC2	2	cDNA	Rpf-	2
BrassicaC3	3	cDNA	Rpf-	3
BrassicaC4	4	cDNA	Rpf-	4
BrassicaC5	5	cDNA	Rpf-	5
BrassicaCR1	1	cDNA	Rpf+	1
BrassicaCR2	2	cDNA	Rpf+	2
BrassicaCR3	3	cDNA	Rpf+	3
BrassicaCR4	4	cDNA	Rpf+	4
BrassicaCR5	5	cDNA	Rpf+	5
BrassicaD1	1	DNA	Rpf-	6
BrassicaD2	2	DNA	Rpf-	7
BrassicaD3	3	DNA	Rpf-	8
BrassicaD4	4	DNA	Rpf-	9
BrassicaD5	5	DNA	Rpf-	10
BrassicaDR1	1	DNA	Rpf+	6
BrassicaDR2	2	DNA	Rpf+	7
BrassicaDR3	3	DNA	Rpf+	8
BrassicaDR4	4	DNA	Rpf+	9
BrassicaDR5	5	DNA	Rpf+	10
