,E,E_se
EC_1A_D,0.046987121141328,5.48358485639847e-05
EC_1A_R,0.0392306579457383,4.53669068170095e-05
EC_1B_D,0.053294641207845,6.26947622053507e-05
EC_1B_R,0.0485555641860946,6.16087446532961e-05
EC_1C_D,0.0501361021178589,3.80616059524442e-05
EC_1C_R,0.035305078644741,2.65783323088941e-05
EC_1D_D,0.0280167959027519,3.42390769987377e-05
EC_1D_R,0.0309390521834716,2.64631987641379e-05
EC_1E_D,0.0503629101954516,4.77852152354993e-05
EC_1F_D,0.0414542412522035,5.21483035131744e-05
EC_1F_R,0.0371799767883864,4.16009718765895e-05
EC_1G_D,0.0426567321369507,4.97045837198267e-05
EC_1G_R,0.0319496816147849,3.80966309709027e-05
EC_1H_D,0.037442604188492,4.75631639322577e-05
EC_1H_R,0.0342806814702509,3.49767265815987e-05
EC_1I_D,0.0398180945087628,4.23436672249672e-05
EC_1I_R,0.0419758772104782,4.22001920814704e-05
EC_1J_D,0.045590633309953,4.79360846033406e-05
EC_1J_R,0.0361623605505672,3.84288293311866e-05
EC_2B_D,0.0492133640220836,3.49745261386101e-05
EC_2C_D,0.0520743011602147,5.72081777637488e-05
EC_2D_D,0.0456121122226111,4.12960725031184e-05
EC_2E_D,0.0422792017503861,4.09980946097284e-05
EC_2E_R,0.0349142070280801,3.33779543817666e-05
EC_2F_D,0.0325076574287813,3.97159133758501e-05
EC_2F_R,0.0277549466529348,2.4821496457031e-05
EC_2G_D,0.0320732860425749,3.6865768898854e-05
EC_2H_D,0.0454810202716106,4.24038670199627e-05
EC_2H_R,0.0304699929595848,3.28750368185441e-05
EC_2I_R,0.03524854284199,3.74979208507256e-05
EC_2J_D,0.041069855528038,4.5157204816529e-05
EC_5A_D,0.0525239477041749,5.82334855741099e-05
EC_5A_R,0.0476186087938869,5.1746481650459e-05
EC_5B_D,0.0552468843705382,5.52425392178935e-05
EC_5B_R,0.0620956548102875,5.79438379153498e-05
EC_5C_D,0.0454008844286737,5.18082291121018e-05
EC_5C_R,0.0369307443490963,3.95112354134391e-05
EC_5D_D,0.0601646272378485,5.83674777066608e-05
EC_5D_R,0.0543215676766704,6.10317228990168e-05
EC_5E_D,0.0411488128112574,4.05740279975405e-05
EC_5E_R,0.0451974075183081,4.64486769228004e-05
EC_5F_D,0.042769138262027,4.96319000139852e-05
EC_5F_R,0.044006891750025,5.20554081097261e-05
EC_5G_D,0.0539864520060672,6.39023719612591e-05
EC_5G_R,0.0458040619365732,5.01339612048903e-05
EC_5H_D,0.0563912288504111,5.73569154455421e-05
EC_5H_R,0.0472117836514382,2.35663934805943e-05
EC_5I_D,0.0530242455130039,6.78895241254119e-05
EC_5I_R,0.0501462122805896,5.2726739644275e-05
EC_5J_D,0.0632618250676719,5.03934811287067e-05
EC_5J_R,0.0468324319457372,6.06347506258228e-05
EC_6A_D,0.0753500805835455,6.48372830927379e-05
EC_6A_R,0.0417874125812459,4.74707650373836e-05
EC_6B_D,0.0589139556938063,6.04407992259124e-05
EC_6B_R,0.0555735838202998,7.03068029947016e-05
EC_6C_D,0.0625885828044562,7.53247713458783e-05
EC_6C_R,0.0444683301285182,4.83819129532494e-05
EC_6D_D,0.0607171487278399,6.87166213237396e-05
EC_6D_R,0.0412256122623595,5.18769253716405e-05
EC_6E_D,0.0566840320302399,4.67580177658751e-05
EC_6E_R,0.0357810068452115,3.86466313660075e-05
EC_6F_D,0.0507447191531331,5.48822502324965e-05
EC_6F_R,0.0302984970980792,3.75378641795941e-05
EC_6G_D,0.063584654369267,5.27440398866949e-05
EC_6G_R,0.0441386587283294,5.22745442869701e-05
EC_6H_D,0.0662796070095133,5.793838276766e-05
EC_6H_R,0.0437746057611606,4.85405353381189e-05
EC_6I_R,0.0353980039423295,3.91329862207023e-05
EC_6J_D,0.0621957814388185,7.17094793290169e-05
EC_6J_R,0.0488002732645007,5.94803420156056e-05
