,S,S_se
EC_1A_D,3813.83,2.43538954219283
EC_1A_R,4329.83,2.73089525410421
EC_1B_D,4102.5,2.36081222112949
EC_1B_R,4402.92,3.10378328932139
EC_1C_D,3923.89,2.00362777042649
EC_1C_R,4235.46,1.82066809804322
EC_1D_D,3690.05,2.02441536641016
EC_1D_R,3865.82,1.74612876288252
EC_1E_D,3250.72,2.02933436865342
EC_1F_D,4073.13,2.23844530282457
EC_1F_R,4365.88,2.60788547805817
EC_1G_D,3911.16,3.05837878754101
EC_1G_R,3904.27,2.71072896379397
EC_1H_D,3939.26,2.2033775725628
EC_1H_R,4156.75,2.25269199228861
EC_1I_D,3716.71,2.55118490988882
EC_1I_R,4363.05,2.58977691016899
EC_1J_D,4178.33,3.0878731525211
EC_1J_R,4225.11,2.21710043602773
EC_2B_D,3635.03,1.50188131180446
EC_2C_D,3926.67,2.42936808510553
EC_2D_D,4565.32,2.38119229960051
EC_2E_D,4018.07,2.84147688871314
EC_2E_R,3726.55,2.1289906082698
EC_2F_D,3700.33,2.21519340423851
EC_2F_R,3622.29,2.18231158141633
EC_2G_D,3616.94,2.27697389115688
EC_2H_D,3881.02,2.38653546278942
EC_2H_R,3454.8,1.77194751045227
EC_2I_R,3504.22,2.01040626076754
EC_2J_D,4013.56,2.21962413780606
EC_5A_D,4520,2.54375845368759
EC_5A_R,4723.24,2.2980501176942
EC_5B_D,4383.61,2.35483148295824
EC_5B_R,3986.71,2.16222364965124
EC_5C_D,3752.31,2.41918656501801
EC_5C_R,3900.02,2.10933375474079
EC_5D_D,4268.15,2.533707109587
EC_5D_R,4547.44,2.30722711705999
EC_5E_D,4295.31,2.40989940692867
EC_5E_R,4756.81,2.62088330395104
EC_5F_D,4270.76,2.8367401977437
EC_5F_R,4968.87,2.7377147072297
EC_5G_D,4624.89,2.82005426554279
EC_5G_R,5060.29,2.65235915571574
EC_5H_D,4198.73,2.14978763339239
EC_5H_R,4736.64,0.980673856142404
EC_5I_D,4480.64,2.71231832701671
EC_5I_R,4975.7,2.74471024762803
EC_5J_D,3734.31,2.31576481246837
EC_5J_R,4897.24,2.47100846382258
EC_6A_D,4511.02,2.34223324322249
EC_6A_R,4372.42,2.45320569496693
EC_6B_D,4654.92,2.74228688756982
EC_6B_R,4194.22,2.3735742131761
EC_6C_D,4245.94,2.8592158280751
EC_6C_R,4182.51,2.43387270900439
EC_6D_D,4704.08,2.70982797918386
EC_6D_R,4328.66,2.98718542572716
EC_6E_D,4497.17,1.9395435785074
EC_6E_R,4166.35,2.68419899456509
EC_6F_D,3994.01,2.42847148168838
EC_6F_R,3759.59,2.27143415738012
EC_6G_D,4607.03,2.24708363184036
EC_6G_R,4319.88,2.3853204261385
EC_6H_D,4508.93,2.60156343824869
EC_6H_R,3997.83,2.26519805364172
EC_6I_R,4447.05,2.64515470896192
EC_6J_D,4901.63,2.852206482389
EC_6J_R,4307.66,2.53346171923483
